,exp_name,env_name,seed,metric,env_step,value
0,ours,acrobot-swingup,0,avg_return,10000,27.291585919773631
1,ours,acrobot-swingup,0,avg_return,20000,29.803823794493439
2,ours,acrobot-swingup,0,avg_return,30000,63.793085078597116
3,ours,acrobot-swingup,0,avg_return,40000,68.768711353039379
4,ours,acrobot-swingup,0,avg_return,50000,88.576929284480528
5,ours,acrobot-swingup,0,avg_return,60000,0.048299199874014535
6,ours,acrobot-swingup,0,avg_return,70000,86.695841897330666
7,ours,acrobot-swingup,0,avg_return,80000,83.293872662799771
8,ours,acrobot-swingup,0,avg_return,90000,67.105564137073245
9,ours,acrobot-swingup,0,avg_return,100000,165.7917044720927
10,ours,acrobot-swingup,0,avg_return,110000,232.38453128017699
11,ours,acrobot-swingup,0,avg_return,120000,153.37897766494606
12,ours,acrobot-swingup,0,avg_return,130000,131.32111355287361
13,ours,acrobot-swingup,0,avg_return,140000,223.90236800065355
14,ours,acrobot-swingup,0,avg_return,150000,240.46409708241708
15,ours,acrobot-swingup,0,avg_return,160000,143.28803889359958
16,ours,acrobot-swingup,0,avg_return,170000,250.01436769840817
17,ours,acrobot-swingup,0,avg_return,180000,396.01246415166986
18,ours,acrobot-swingup,0,avg_return,190000,300.05845785848032
19,ours,acrobot-swingup,0,avg_return,200000,195.83978752814795
20,ours,acrobot-swingup,0,avg_return,210000,230.36614345460802
21,ours,acrobot-swingup,0,avg_return,220000,487.11192697823418
22,ours,acrobot-swingup,0,avg_return,230000,196.56401640551513
23,ours,acrobot-swingup,0,avg_return,240000,539.59620660046312
24,ours,acrobot-swingup,0,avg_return,250000,145.96481115706527
25,ours,acrobot-swingup,0,avg_return,260000,225.62388459842023
26,ours,acrobot-swingup,0,avg_return,270000,241.08669026221688
27,ours,acrobot-swingup,0,avg_return,280000,451.96524732081764
28,ours,acrobot-swingup,0,avg_return,290000,497.92291577026538
29,ours,acrobot-swingup,0,avg_return,300000,327.28673605275918
30,ours,acrobot-swingup,0,avg_return,310000,461.1163905888701
31,ours,acrobot-swingup,0,avg_return,320000,281.48552414040694
32,ours,acrobot-swingup,0,avg_return,330000,420.30735398121271
33,ours,acrobot-swingup,0,avg_return,340000,263.56091550275971
34,ours,acrobot-swingup,0,avg_return,350000,557.31319924630191
35,ours,acrobot-swingup,0,avg_return,360000,242.03006766851635
36,ours,acrobot-swingup,0,avg_return,370000,499.52591052737137
37,ours,acrobot-swingup,0,avg_return,380000,318.41173092539879
38,ours,acrobot-swingup,0,avg_return,390000,357.83202083590857
39,ours,acrobot-swingup,0,avg_return,400000,338.64035817996859
40,ours,acrobot-swingup,0,avg_return,410000,553.51977284779264
41,ours,acrobot-swingup,0,avg_return,420000,551.71701244592646
42,ours,acrobot-swingup,0,avg_return,430000,314.37182667775909
43,ours,acrobot-swingup,0,avg_return,440000,411.87710422130351
44,ours,acrobot-swingup,0,avg_return,450000,303.79116152420295
45,ours,acrobot-swingup,0,avg_return,460000,268.86467550857009
46,ours,acrobot-swingup,0,avg_return,470000,380.26176034683897
47,ours,acrobot-swingup,0,avg_return,480000,277.23318436593723
48,ours,acrobot-swingup,0,avg_return,490000,482.22795247221404
49,ours,acrobot-swingup,0,avg_return,500000,484.07219544990573
50,ours,acrobot-swingup,0,avg_return,510000,373.11171391467894
51,ours,acrobot-swingup,0,avg_return,520000,462.3583559396692
52,ours,acrobot-swingup,0,avg_return,530000,414.37616951072215
